"pt","NB_km","NB_ipcw","bias_km","bias_ipcw","ci_km_lower","ci_km_upper","ci_ipcw_lower","ci_ipcw_upper","NB_True","cover_km","cover_ipcw"
0.01,0.399439334609695,0.400023031760233,-0.00577109218545213,-0.00635478933599065,0.359621680859579,0.435740901229731,0.359428983409354,0.436103113580571,0.393668242424242,TRUE,TRUE
0.05,0.374320480845434,0.374563295071036,-0.00312748084543429,-0.00337029507103559,0.333991743138556,0.410704455113168,0.334372102735875,0.410723970417293,0.371193,TRUE,TRUE
0.1,0.342772164560731,0.343228731960603,0.00407372432815822,0.00361715692828568,0.300682519133346,0.380486301381277,0.302562681845714,0.380454179956191,0.346845888888889,TRUE,TRUE
0.25,0.267781319196249,0.266129081428129,0.0197566808037512,0.0214089185718714,0.227008249248049,0.30748260024434,0.225267397197045,0.30517298891008,0.287538,TRUE,TRUE
0.5,0.186427399270816,0.190694782592069,0.0259046007291844,0.0216372174079311,0.146433549702491,0.225254601915969,0.14978961606588,0.231327514223326,0.212332,TRUE,TRUE
0.75,0.130319015102084,0.136338328544343,0.0173129848979162,0.0112936714556572,0.0881485714285716,0.169758320690862,0.0953341671950109,0.176914137709265,0.147632,TRUE,TRUE
0.01,0.407929184235202,0.405162003206651,-0.01426094181096,-0.0114937607824083,0.368791395445167,0.441636452510104,0.364226927993985,0.43944643946581,0.393668242424242,TRUE,TRUE
0.05,0.390086382911875,0.386391677055713,-0.0188933829118755,-0.0151986770557126,0.349000999038572,0.426206713667796,0.345510175385617,0.422025085737502,0.371193,TRUE,TRUE
0.1,0.364968819052492,0.36459763015109,-0.0181229301636028,-0.0177517412622015,0.324307962883502,0.402342739897156,0.322613899876958,0.400086825981425,0.346845888888889,TRUE,TRUE
0.25,0.289945637868009,0.289186150293037,-0.00240763786800891,-0.00164815029303711,0.250615421480817,0.32729399799384,0.247829389850482,0.326161848985078,0.287538,TRUE,TRUE
0.5,0.24040483961989,0.238942400710433,-0.0280728396198895,-0.0266104007104331,0.198844179836372,0.281482852630901,0.196620650642235,0.281263812075769,0.212332,TRUE,TRUE
0.75,0.190008107360468,0.191450375937794,-0.0423761073604676,-0.0438183759377938,0.150345490584637,0.226180874074824,0.150604018596759,0.22852722336024,0.147632,FALSE,FALSE
0.01,0.382846879035723,0.381589454024998,0.0108213633885196,0.0120787883992445,0.345294471725044,0.416795779721473,0.344308660862588,0.414914673111319,0.393668242424242,TRUE,TRUE
0.05,0.365811525962531,0.362440088511217,0.00538147403746891,0.00875291148878338,0.327175073041254,0.40243141907824,0.322367560941768,0.397464014910055,0.371193,TRUE,TRUE
0.1,0.336814890879705,0.335170044092345,0.0100309980091842,0.0116758447965443,0.299303944927783,0.372183706336189,0.297565127628762,0.369411259476363,0.346845888888889,TRUE,TRUE
0.25,0.27929621451333,0.273590633732508,0.00824178548666954,0.0139473662674922,0.23425053253702,0.317759229645722,0.229685018958922,0.312157872119515,0.287538,TRUE,TRUE
0.5,0.214897013412375,0.209234647992261,-0.00256501341237475,0.00309735200773947,0.175996609294347,0.254016677200964,0.168619526617267,0.250220564555039,0.212332,TRUE,TRUE
0.75,0.167652772202322,0.163345309718632,-0.020020772202322,-0.0157133097186317,0.128424266110495,0.200308959452475,0.119793454459308,0.198046392100566,0.147632,TRUE,TRUE
0.01,0.373209805957121,0.371064357662044,0.0204584364671213,0.0226038847621982,0.337369721570544,0.408841317619636,0.334113957835392,0.407362227551933,0.393668242424242,TRUE,TRUE
0.05,0.353089434327858,0.35249991441016,0.0181035656721424,0.0186930855898397,0.316503523530731,0.391035284493251,0.315715209719785,0.390621908673676,0.371193,TRUE,TRUE
0.1,0.332249503651017,0.33011808070578,0.0145963852378718,0.0167278081831085,0.293960026622092,0.370142414065096,0.29318596420371,0.368688852072601,0.346845888888889,TRUE,TRUE
0.25,0.261525065044428,0.261249536485847,0.0260129349555722,0.026288463514153,0.218067751825177,0.298615223690249,0.219072930660675,0.300827593865535,0.287538,TRUE,TRUE
0.5,0.199170835822065,0.192611719139839,0.0131611641779354,0.0197202808601606,0.163371095190703,0.243887479379989,0.155521253818651,0.239318913008245,0.212332,TRUE,TRUE
0.75,0.140811844888367,0.133942330434665,0.00682015511163353,0.0136896695653348,0.0968698651662777,0.183779581883214,0.0853300351670695,0.18187323437868,0.147632,TRUE,TRUE
0.01,0.392113171698775,0.394570032770154,0.00155507072546757,-0.000901790345911313,0.353397352133113,0.430408572225933,0.355026660550755,0.430864034350445,0.393668242424242,TRUE,TRUE
0.05,0.366732351579089,0.36610927020897,0.00446064842091148,0.00508372979102989,0.32581603529697,0.40587995415678,0.326758004190033,0.403311786572691,0.371193,TRUE,TRUE
0.1,0.341982465824807,0.3431941313439,0.00486342306408144,0.00365175754498931,0.300905575334079,0.380210807589807,0.303756044766001,0.381025576805929,0.346845888888889,TRUE,TRUE
0.25,0.288457003669393,0.290404084566618,-0.000919003669393292,-0.00286608456661813,0.245315669090646,0.328452218826715,0.247206798106186,0.330652053769412,0.287538,TRUE,TRUE
0.5,0.203408063528199,0.197320366350236,0.00892393647180109,0.0150116336497641,0.158181863991986,0.242441659402704,0.149460011245452,0.23914077488444,0.212332,TRUE,TRUE
0.75,0.148317012525283,0.149902348647706,-0.000685012525283357,-0.00227034864770548,0.0996119553835194,0.191021550616905,0.109169147361932,0.192759015979418,0.147632,TRUE,TRUE
0.01,0.408112626934396,0.413670495410082,-0.0144443845101537,-0.0200022529858393,0.370705151017072,0.445955452210271,0.376515220447249,0.450782092460214,0.393668242424242,TRUE,TRUE
0.05,0.391437915797685,0.396141285862404,-0.0202449157976854,-0.0249482858624042,0.353794029304109,0.430953790968638,0.35933679214208,0.434394810808992,0.371193,TRUE,TRUE
0.1,0.367542134672096,0.372917316262961,-0.0206962457832073,-0.0260714273740725,0.329476430005908,0.409738238703552,0.33413086623871,0.413354567092992,0.346845888888889,TRUE,TRUE
0.25,0.309578980410574,0.311622532087584,-0.0220409804105744,-0.0240845320875843,0.270453066920656,0.35163838174849,0.272036229793426,0.35163286760834,0.287538,TRUE,TRUE
0.5,0.219222052987453,0.225742763754327,-0.0068900529874529,-0.013410763754327,0.180266967079817,0.26546621621481,0.183010915172169,0.269732323523422,0.212332,TRUE,TRUE
0.75,0.171228544072235,0.175244451283974,-0.0235965440722349,-0.027612451283974,0.133760897706872,0.210146714540531,0.130723936459015,0.217174172172541,0.147632,TRUE,TRUE
0.01,0.427178438650794,0.42255139387366,-0.0335101962265518,-0.0288831514494176,0.389900692198241,0.468775011291702,0.38468850230709,0.461917032864417,0.393668242424242,TRUE,TRUE
0.05,0.410071094920085,0.4053211590085,-0.0388780949200851,-0.0341281590084999,0.371495704028168,0.451089083685886,0.36507231831632,0.445224481073809,0.371193,FALSE,TRUE
0.1,0.384989943212888,0.38205757178648,-0.0381440543239986,-0.0352116828975913,0.345169627615649,0.425026893270711,0.340822871480541,0.421554429702806,0.346845888888889,TRUE,TRUE
0.25,0.325863973849171,0.32599223426817,-0.0383259738491705,-0.03845423426817,0.285101233386045,0.3669150032434,0.281721929161959,0.369349127193535,0.287538,TRUE,TRUE
0.5,0.237744703672898,0.234719414221547,-0.0254127036728975,-0.0223874142215466,0.201099191541678,0.276614075261393,0.195983722354434,0.273186534335875,0.212332,TRUE,TRUE
0.75,0.167048542405388,0.16474933720566,-0.0194165424053879,-0.0171173372056594,0.131583912548456,0.20471782216906,0.125604972453199,0.204323309566372,0.147632,TRUE,TRUE
0.01,0.422199444129569,0.41483189796004,-0.0285312017053263,-0.0211636555357972,0.381381409896871,0.460964468061237,0.373464017351877,0.4522764801959,0.393668242424242,TRUE,TRUE
0.05,0.398868782749639,0.391256741330274,-0.0276757827496388,-0.0200637413302736,0.357309085144489,0.437622304264525,0.351337372107177,0.42841061821878,0.371193,TRUE,TRUE
0.1,0.371556371480707,0.364223392318119,-0.0247104825918185,-0.0173775034292304,0.327953834438891,0.409823396753004,0.321325275840941,0.40135021864027,0.346845888888889,TRUE,TRUE
0.25,0.315136740602327,0.315406267712601,-0.0275987406023273,-0.0278682677126014,0.270762598193659,0.354613098889968,0.27201337240414,0.353820246249534,0.287538,TRUE,TRUE
0.5,0.22830091563252,0.231623188561641,-0.0159689156325201,-0.0192911885616406,0.182565459778163,0.270260388992665,0.186235739425305,0.274425072082381,0.212332,TRUE,TRUE
0.75,0.168759790468759,0.172438478344814,-0.0211277904687586,-0.0248064783448142,0.125314695754905,0.211573377116236,0.12880815020146,0.214256339547055,0.147632,TRUE,TRUE
0.01,0.426257074610397,0.423089990233426,-0.0325888321861541,-0.0294217478091832,0.391648657110192,0.466476448368762,0.39030712314124,0.463394886505858,0.393668242424242,TRUE,TRUE
0.05,0.409005478984388,0.404507447983073,-0.0378124789843877,-0.0333144479830729,0.373831600999127,0.451329373171621,0.369620038175781,0.445973653196213,0.371193,FALSE,TRUE
0.1,0.378916765537422,0.374338407384821,-0.0320708766485331,-0.0274925184959326,0.343421124246396,0.42181975689616,0.340739020017042,0.418574918264729,0.346845888888889,TRUE,TRUE
0.25,0.307344250126317,0.304661227614699,-0.0198062501263173,-0.0171232276146995,0.268842515326981,0.351144650878557,0.268187825393238,0.348437219932962,0.287538,TRUE,TRUE
0.5,0.249539361216585,0.243924082088513,-0.0372073612165852,-0.0315920820885128,0.213100528037703,0.292521110156034,0.207302581193848,0.28623598806557,0.212332,FALSE,TRUE
0.75,0.158465183113775,0.153837467053592,-0.0108331831137745,-0.00620546705359187,0.123416880676579,0.197309733560967,0.11525643088982,0.194128220542885,0.147632,TRUE,TRUE
